ap_name,switch,port,site
BR-RONALDO-WA001,BR-RONALDO-SW002,GigabitEthernet3/0/47,LATO-BR-RONALDO-01
BR-RONALDO-WA002,BR-RONALDO-SW003,GigabitEthernet1/0/18,LATO-BR-RONALDO-01
BR-DSC-LOZ-MTS-01-TesteAZN,BR-DSC-LOZ-MTS-P06-SW017,GigabitEthernet1/0/45,LATO-BR-DSC-LOZ-MTS-01
CA-EXP-YTZ-Forescount,YTZ-CO01-EXP-9410-SW01,GigabitEthernet3/0/47,DHLIBPTON04-YTZ-Brampton
CA-EXP-YTZ-Forescount2,YTZ-CO01-EXP-9410-SW02,GigabitEthernet3/0/48,DHLIBPTON04-YTZ-Brampton
CA-EXP-YTZ-Forescount3,YTZ-CO01-EXP-9410-SW03,GigabitEthernet3/0/49,DHLIBPTON04-YTZ-Brampton
CA-EXP-YTZ-Forescount4,YTZ-CO01-EXP-9410-SW04,GigabitEthernet3/0/50,DHLIBPTON04-YTZ-Brampton
AR-DGF-BUE-BOS-WA001,BOS-SW02,GigabitEthernet1/0/48,LATO-AR-DGF-BUE-BOS-01
AR-DGF-BUE-BOS-WA002,BOS-SW04,GigabitEthernet1/0/47,LATO-AR-DGF-BUE-BOS-01
AR-DGF-BUE-BOS-WA003,BOS-SW06,GigabitEthernet1/0/47,LATO-AR-DGF-BUE-BOS-01
AR-DGF-BUE-BOS-WA004,BOS-SW04,GigabitEthernet1/0/48,LATO-AR-DGF-BUE-BOS-01
AR-DGF-BUE-BOS-WA005,BOS-SW01,GigabitEthernet1/0/47,LATO-AR-DGF-BUE-BOS-01
AR-DGF-BUE-BOS-WA006,BOS-SW01,GigabitEthernet1/0/48,LATO-AR-DGF-BUE-BOS-01
AR-DGF-BUE-BOS-WA007,BOS-SW03,GigabitEthernet1/0/48,LATO-AR-DGF-BUE-BOS-01
AR-DGF-BUE-BOS-WA008,BOS-SW02,GigabitEthernet1/0/6,LATO-AR-DGF-BUE-BOS-01
AR-DGF-BUE-BOS-WA009,BOS-SW02,GigabitEthernet1/0/47,LATO-AR-DGF-BUE-BOS-01
AR-DGF-BUE-BOS-WA010,BOS-SW06,GigabitEthernet1/0/48,LATO-AR-DGF-BUE-BOS-01
AR-DGF-BUE-CIU-WA001,SW_PPAL_1,GigabitEthernet1/0/28,LATO-AR-DGF-BUE-CIU-01
AR-DGF-BUE-CIU-WA002,SW-R2,GigabitEthernet1/0/1,LATO-AR-DGF-BUE-CIU-01
AR-DGF-BUE-CIU-WA003,SW_PPAL_1,GigabitEthernet2/0/15,LATO-AR-DGF-BUE-CIU-01
AR-DGF-BUE-CIU-WA005,SW-R2,GigabitEthernet1/0/4,LATO-AR-DGF-BUE-CIU-01
AR-DGF-BUE-CIU-WA007,SW-R3,GigabitEthernet1/0/17,LATO-AR-DGF-BUE-CIU-01
AR-DGF-BUE-CIU-WA008,SW-R3,GigabitEthernet1/0/2,LATO-AR-DGF-BUE-CIU-01
AR-DGF-BUE-CIU-WA009,SW-R3,GigabitEthernet1/0/1,LATO-AR-DGF-BUE-CIU-01
AR-DGF-BUE-CIU-WA010,SW-R2,GigabitEthernet1/0/15,LATO-AR-DGF-BUE-CIU-01
AR-DGF-BUE-CIU-WA011,SW-R2,GigabitEthernet1/0/6,LATO-AR-DGF-BUE-CIU-01
AR-DGF-BUE-CIU-WA012,SW-R2,GigabitEthernet1/0/2,LATO-AR-DGF-BUE-CIU-01
AR-DGF-BUE-EZE-WA001,EZE-SW01,GigabitEthernet1/0/6,LATO-AR-DGF-BUE-EZE-01
AR-DSC-BUE-PCD-WA001,AR-DSC-BUE-PCD-SW001,GigabitEthernet1/0/43,LATO-AR-DSC-BUE-PCD-01
AR-DSC-BUE-PCD-WA002,AR-DSC-BUE-PCD-SW004,GigabitEthernet1/0/23,LATO-AR-DSC-BUE-PCD-01
AR-DSC-BUE-PCD-WA003,AR-DSC-BUE-PCD-SW002,GigabitEthernet1/0/23,LATO-AR-DSC-BUE-PCD-01
AR-DSC-BUE-PCD-WA004,AR-DSC-BUE-PCD-SW010,GigabitEthernet1/0/23,LATO-AR-DSC-BUE-PCD-01
AR-DSC-BUE-PTC-WA001,AR-DSC-BUE-PTC-SW002,GigabitEthernet1/0/46,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA002,AR-DSC-BUE-PTC-SW002,GigabitEthernet1/0/39,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA003,AR-DSC-BUE-PTC-SW002,GigabitEthernet1/0/45,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA004,AR-DSC-BUE-PTC-SW006,GigabitEthernet1/0/1,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA005,AR-DSC-BUE-PTC-SW006,GigabitEthernet1/0/2,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA006,AR-DSC-BUE-PTC-SW002,GigabitEthernet1/0/44,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA007,AR-DSC-BUE-PTC-SW002,GigabitEthernet1/0/43,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA008,AR-DSC-BUE-PTC-SW004,GigabitEthernet1/0/21,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA009,AR-DSC-BUE-PTC-SW006,GigabitEthernet1/0/21,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA010,AR-DSC-BUE-PTC-SW007,GigabitEthernet1/0/23,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA011,AR-DSC-BUE-PTC-SW002,GigabitEthernet1/0/37,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA012,AR-DSC-BUE-PTC-SW002,GigabitEthernet1/0/42,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA013,AR-DSC-BUE-PTC-SW002,GigabitEthernet1/0/41,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA014,AR-DSC-BUE-PTC-SW007,GigabitEthernet1/0/22,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA015,AR-DSC-BUE-PTC-SW011,GigabitEthernet1/0/22,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA016,AR-DSC-BUE-PTC-SW011,GigabitEthernet1/0/23,LATO-AR-DSC-BUE-PTC-01
AR-DSC-BUE-PTC-WA017,AR-DSC-BUE-PTC-SW011,GigabitEthernet1/0/17,LATO-AR-DSC-BUE-PTC-01
AR-DSC-SPZ-CLX-WA001,AR-DSC-SPZ-CLX-SW001,GigabitEthernet1/0/21,LATO-AR-DSC-SPZ-CLX-01
AR-DSC-SPZ-CLX-WA002,AR-DSC-SPZ-CLX-SW001,GigabitEthernet1/0/19,LATO-AR-DSC-SPZ-CLX-01
AR-DSC-SPZ-CLX-WA003,AR-DSC-SPZ-CLX-SW004,GigabitEthernet1/0/24,LATO-AR-DSC-SPZ-CLX-01
AR-DSC-SPZ-CLX-WA004,AR-DSC-SPZ-CLX-SW004,GigabitEthernet1/0/23,LATO-AR-DSC-SPZ-CLX-01
AR-DSC-SPZ-CLX-WA005,AR-DSC-SPZ-CLX-SW005,GigabitEthernet1/0/23,LATO-AR-DSC-SPZ-CLX-01
AR-DSC-SPZ-CLX-WA006,AR-DSC-SPZ-CLX-SW005,GigabitEthernet1/0/24,LATO-AR-DSC-SPZ-CLX-01
AR-DSC-SPZ-CLX-WA007,AR-DSC-SPZ-CLX-SW006,GigabitEthernet1/0/21,LATO-AR-DSC-SPZ-CLX-01
AR-DSC-SPZ-CLX-WA008,AR-DSC-SPZ-CLX-SW006,GigabitEthernet1/0/22,LATO-AR-DSC-SPZ-CLX-01
AR-DSC-SPZ-CLX-WA009,AR-DSC-SPZ-CLX-SW006,GigabitEthernet1/0/23,LATO-AR-DSC-SPZ-CLX-01
AR-DSC-SPZ-CLX-WA010,AR-DSC-SPZ-CLX-SW001,GigabitEthernet1/0/18,LATO-AR-DSC-SPZ-CLX-01
AR-DSC-SPZ-CLX-WA011,AR-DSC-SPZ-CLX-SW001,GigabitEthernet1/0/22,LATO-AR-DSC-SPZ-CLX-01
AR-EXP-BUE-EZE-WA004,Eze-Access01,GigabitEthernet1/0/22,LATO-AR-EXP-BUE-EZE-01
AR-EXP-BUE-EZE-WA005,Eze-Access01,GigabitEthernet2/0/22,LATO-AR-EXP-BUE-EZE-01
AR-EXP-BUE-EZE-WA006,Eze-Access01,GigabitEthernet1/0/18,LATO-AR-EXP-BUE-EZE-01
AR-EXP-BUE-LRZ-WA001,CUSA1,GigabitEthernet2/0/45,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA002,SERV1,GigabitEthernet2/0/1,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA003,SERV1,GigabitEthernet1/0/31,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA004,CORE,GigabitEthernet2/0/27,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA005,SERV1,GigabitEthernet1/0/28,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA007,CORE,GigabitEthernet2/0/25,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA009,Computos_1,GigabitEthernet2/0/22,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA010,CUST1,GigabitEthernet1/0/48,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA011,OPER2,GigabitEthernet1/0/3,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA016,SERV1,GigabitEthernet1/0/44,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA018,OPER2,GigabitEthernet1/0/44,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA019,ADUA1,GigabitEthernet1/0/48,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA020,ADUA1,GigabitEthernet3/0/18,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA021,ADUA1,GigabitEthernet1/0/40,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA022,OPER3,GigabitEthernet1/0/18,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA023,OPER1,GigabitEthernet1/0/7,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA024,FSSC1,GigabitEthernet1/0/1,LATO-AR-EXP-BUE-LRZ-01
AR-EXP-BUE-LRZ-WA025,ADUA1,GigabitEthernet2/0/26,LATO-AR-EXP-BUE-LRZ-01
